scenario,dimension,max_iterations_limit,pid_config,Kp,Ki,Kd,mode,trial_id,success,path_length,planning_time,iterations,tree_nodes,smoothness,clearance,convergence_time,first_solution_iter,avg_tracking_error,oscillation_count,oscillation_rate,failure_mode,final_ellipsoid_volume,effective_sampling_ratio,samples_in_ellipsoid,total_samples_attempted,esr_tree_A,esr_tree_B
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,7,True,2420.668887580741,1.9752171039581299,561,792,39.78315382217678,27.33247473462183,1.2311151027679443,361.0,537.2405857769288,130,0.23172905525846701,none,45770403.24212219,0.9803571428571428,1098,1120,0.9785714285714285,0.9821428571428571
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,8,True,2248.716455892628,0.8581693172454834,250,333,31.794791662939456,33.159632968287525,0.1844959259033203,50.0,480.6024221090034,57,0.228,none,45755708.2855706,0.9678714859437751,482,498,0.9598393574297188,0.9759036144578314
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,9,True,2930.5390044729256,2.410954236984253,693,928,40.10776163702033,26.28470802201302,1.6491928100585938,493.0,533.4000967424141,137,0.1976911976911977,none,45760975.92035892,0.990606936416185,1371,1384,0.9898843930635838,0.9913294797687862
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,10,True,2543.872727544646,0.9664266109466553,278,399,41.828185253131096,30.15683601111344,0.27363061904907227,78.0,486.6561959970694,46,0.16546762589928057,none,45224851.29272224,0.9729241877256317,539,554,0.9855595667870036,0.9602888086642599
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,11,True,2491.0791494915593,1.27325439453125,381,528,39.36650026582794,30.638165385596565,0.6243023872375488,181.0,511.98293318125957,86,0.22572178477690288,none,45911300.17484199,0.9802631578947368,745,760,0.9842105263157894,0.9763157894736842
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,12,True,2461.3500242599234,1.4702246189117432,450,562,38.837001257675844,30.666612277458533,0.758976936340332,250.0,549.0332908544539,82,0.18222222222222223,none,45940681.78529343,0.9866369710467706,886,898,0.9844097995545658,0.9888641425389755
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,13,True,2662.692636875718,1.1089754104614258,360,421,36.617640323863654,29.477000616376205,0.4411172866821289,160.0,500.0011600291605,62,0.17222222222222222,none,46595845.805856995,0.979108635097493,703,718,0.9777158774373259,0.9805013927576601
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,14,True,2367.3384397929285,1.1423687934875488,348,464,39.153660026035865,30.376729256569103,0.4836544990539551,148.0,522.7143737074998,63,0.1810344827586207,none,45627231.30611063,0.9798270893371758,680,694,0.9798270893371758,0.9798270893371758
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,15,True,2739.4069618373633,1.5805203914642334,456,615,37.03698619630787,26.976031701221878,0.8688223361968994,256.0,482.20784797703766,94,0.20614035087719298,none,45908812.534144185,0.9791208791208791,891,910,0.9824175824175824,0.9758241758241758
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,16,True,2302.9511844072226,1.3026881217956543,375,526,38.97841317970296,25.978239045160024,0.6106247901916504,175.0,505.25311909326496,79,0.21066666666666667,none,45407556.404012464,0.9732620320855615,728,748,0.9732620320855615,0.9732620320855615
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,17,True,2636.7840474711506,2.1266744136810303,585,840,36.26814586057248,31.614475482866045,1.3636860847473145,385.0,499.2798263879865,125,0.21367521367521367,none,45513209.32565677,0.9820205479452054,1147,1168,0.9863013698630136,0.9777397260273972
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,18,False,inf,2.7006711959838867,750,1054,inf,0.0,inf,inf,554.8513519446741,164,0.21866666666666668,divergence,45486486.15494816,0.9886666666666667,1483,1500,0.9866666666666667,0.9906666666666667
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,19,True,2645.391722064509,1.4701712131500244,417,617,37.14749422632389,28.831543184203856,0.7628936767578125,217.0,507.86619013857313,103,0.24700239808153476,none,45865887.14244535,0.9831730769230769,818,832,0.9879807692307693,0.9783653846153846
