# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 3000 | 生成时间: 15-Mar-2026 18:34:44

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.046±0.033,2323.07±127.16,0.046±0.033,271±173,0.469±0.037
RRT_Connect_Basic,100.0,0.012±0.006,2145.80±97.67,0.012±0.006,70±10,0.497±0.064
RRT_Star_Basic,100.0,0.166±0.276,1969.06±18.73,13.387±1.675,3857±98,0.293±0.079
Informed_RRT_Star_Basic,100.0,0.215±0.124,2034.17±95.19,2.083±0.418,3855±97,0.191±0.052
SC_RRT_Basic,100.0,0.038±0.014,2004.27±61.58,0.038±0.014,209±34,0.162±0.133
Dynamic_RRT_Basic,100.0,0.056±0.058,2286.43±130.45,0.056±0.058,301±198,0.463±0.040

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
Dynamic_RRT_Basic,210,1,0.024,2393.92,0.024,211,0.454
RRT_Basic,211,1,0.029,2462.63,0.029,253,0.436
RRT_Connect_Basic,212,1,0.006,2041.41,0.006,60,0.442
RRT_Star_Basic,213,1,0.143,1965.53,11.355,3845,0.347
Informed_RRT_Star_Basic,214,1,0.079,1969.24,1.936,3850,0.180
SC_RRT_Basic,215,1,0.041,2046.66,0.041,234,0.241
Dynamic_RRT_Basic,216,1,0.022,2138.29,0.023,245,0.418
RRT_Basic,217,1,0.017,2343.39,0.017,161,0.387
RRT_Connect_Basic,218,1,0.012,2216.14,0.012,72,0.522
RRT_Star_Basic,219,1,0.044,1973.29,11.197,3928,0.328
Informed_RRT_Star_Basic,220,1,0.122,1975.21,1.900,3901,0.163
SC_RRT_Basic,221,1,0.038,1976.35,0.038,233,0.294
Dynamic_RRT_Basic,222,1,0.023,2171.63,0.023,228,0.526
RRT_Basic,223,1,0.024,2391.55,0.024,215,0.509
RRT_Connect_Basic,224,1,0.009,2270.40,0.009,77,0.595
RRT_Star_Basic,225,1,0.061,2006.51,12.216,3735,0.399
Informed_RRT_Star_Basic,226,1,0.176,2069.39,1.458,3836,0.180
