environment_id,family,dimension,seed,algorithm,success,budget_limit,expansion_attempts,added_nodes,total_nodes,collision_checks,collision_rejections,rewire_attempts,rewire_successes,first_solution_attempt,first_solution_time_s,first_solution_nodes,first_solution_cost_mm,first_solution_efficiency,fixed_budget_time_s,fixed_budget_cost_mm,fixed_budget_efficiency,path_valid,map_index,seed_index,pareto_start_index,gamma_a_final,gamma_b_final,p_a_final,p_b_final,feedback_updates,pid_improvement_ema_final
calibration-3d-00,uniform_clutter,3,30000000,SC-RRT,1,5000,5000,3572,3574,9163,289,3837,510,148.0,0.016103233967442065,123.0,2581.6088269821275,0.9057408565461851,0.8591613889439031,2580.09302954787,0.9062729767646158,1,0,0,,1.446113925674571,1.446113925674571,0.8365200489626777,0.8365200489626777,99,0.0013436948110397977
calibration-3d-00,uniform_clutter,3,30000001,RRT-Connect,1,5000,5000,4767,4769,5000,233,0,0,118.0,0.007914019981399179,93.0,2584.0999202221865,0.9048677150289663,0.7094142699497752,2553.2562536051323,0.9157986343581491,1,0,1,,,,,,,
calibration-3d-00,uniform_clutter,3,30000001,RRT*,1,5000,5000,4434,4435,18076,350,13289,3862,664.0,0.1123270159587264,621.0,2446.0613078783063,0.9559321275745862,1.4562842809827998,2434.160748335953,0.9606056591851944,1,0,1,,,,,,,
calibration-3d-00,uniform_clutter,3,30000001,Informed-RRT*,1,5000,5000,4414,4415,30284,376,25489,9361,664.0,0.11322757898597047,621.0,2446.0613078783063,0.9559321275745862,3.138840266969055,2361.393269820231,0.9902071883164097,1,0,1,,,,,,,
calibration-3d-00,uniform_clutter,3,30000001,Dynamic-RRT,1,5000,5000,3953,3954,4305,347,0,0,326.0,0.10301497596083209,297.0,2860.1504437146323,0.8175334256827232,1.9384417799883522,2860.1504437146323,0.8175334256827232,1,0,1,298,,,,,,
calibration-3d-00,uniform_clutter,3,30000001,SC-RRT,1,5000,5000,3685,3687,9476,205,4036,556,148.0,0.01751584594603628,137.0,2623.619004226449,0.8912378613095929,0.9079697959823534,2577.9411228787717,0.9070294776968582,1,0,1,,1.4217081789869552,1.4217081789869552,0.8534015664419878,0.8534015664419878,99,0.002274655425547492
calibration-3d-00,uniform_clutter,3,30000001,RRT,1,5000,5000,4434,4435,4787,350,0,0,664.0,0.04147082898998633,621.0,2887.409502550292,0.8098153684653038,0.40911871299613267,2887.409502550292,0.8098153684653038,1,0,1,,,,,,,
calibration-3d-00,uniform_clutter,3,30000002,RRT*,1,5000,5000,4360,4361,18580,389,13828,4058,619.0,0.10077233001356944,557.0,2438.936752383034,0.9587245704232842,1.429791817034129,2404.781785705416,0.9723412760846736,1,0,2,,,,,,,
calibration-3d-00,uniform_clutter,3,30000002,Informed-RRT*,1,5000,5000,4403,4404,32067,381,27274,9479,619.0,0.10052276699570939,557.0,2438.936752383034,0.9587245704232842,3.5611543360282667,2354.3726426815592,0.9931599390123591,1,0,2,,,,,,,
calibration-3d-00,uniform_clutter,3,30000002,Dynamic-RRT,1,5000,5000,3982,3983,4317,329,0,0,477.0,0.1559536160202697,405.0,2888.2225841281625,0.8095873922832761,1.949527696997393,2888.2225841281625,0.8095873922832761,1,0,2,386,,,,,,
